n_learn,loss,acc,initial_acc,medial_acc,final_acc
1000,0.138243,4.6,19.3,33.4,45.4
2000,0.086202,20.7,52.0,54.6,71.4
3000,0.058114,41.7,72.2,70.0,81.5
4000,0.044916,49.7,76.5,74.4,86.4
5000,0.034832,61.0,85.4,78.6,88.9
6000,0.027914,66.9,87.6,83.2,89.6
7000,0.023986,73.9,89.2,87.1,93.7
8000,0.021039,74.8,91.4,88.0,91.3
9000,0.018131,79.7,90.7,91.8,94.3
10000,0.017283,78.6,91.5,90.0,93.5
11000,0.016001,80.8,93.1,90.0,94.6
12000,0.016541,79.9,91.1,90.6,93.7
13000,0.014301,82.4,92.5,93.9,93.9
14000,0.015766,78.8,93.0,89.2,94.0
15000,0.013908,83.0,94.7,91.2,94.5
16000,0.011609,85.2,93.8,94.3,94.9
17000,0.010848,85.1,94.2,92.9,96.4
18000,0.010483,86.4,95.2,93.5,95.8
19000,0.010471,84.8,94.2,92.7,96.5
20000,0.010014,87.4,94.7,94.0,97.4
21000,0.009439,86.0,94.7,94.7,95.5
22000,0.009399,86.3,93.8,95.0,96.9
23000,0.009293,87.5,94.7,94.0,97.4
24000,0.008683,88.5,94.8,94.6,97.2
25000,0.008987,86.9,93.9,94.4,97.3
26000,0.007919,90.4,95.9,96.3,97.3
27000,0.008399,88.4,95.3,94.8,96.7
28000,0.007476,90.2,96.3,94.3,98.7
29000,0.007864,88.2,95.5,95.0,96.9
30000,0.007241,90.4,97.2,95.3,97.1
31000,0.007743,89.6,96.4,95.4,97.2
32000,0.007335,91.4,96.4,96.3,97.4
33000,0.007815,88.7,95.8,94.2,97.4
34000,0.007788,88.7,95.9,96.0,95.7
35000,0.007042,90.4,96.2,95.7,97.6
36000,0.007082,89.6,95.0,95.8,97.9
37000,0.007414,89.2,96.3,95.5,96.5
38000,0.006605,91.0,97.1,95.9,97.2
39000,0.007356,89.3,96.4,94.9,96.9
40000,0.006445,91.2,97.1,95.8,97.8
41000,0.007095,90.9,96.2,95.5,98.1
42000,0.006769,89.7,95.0,95.8,98.3
43000,0.006419,90.5,96.1,96.6,97.4
44000,0.006654,90.2,96.7,95.3,97.3
45000,0.006481,89.8,95.3,95.8,97.9
46000,0.006754,90.5,95.0,96.2,98.1
47000,0.005230,91.9,96.7,96.7,98.0
48000,0.006707,90.4,95.7,96.1,97.4
49000,0.006397,90.8,96.8,96.0,97.3
50000,0.004686,93.3,97.1,97.2,98.5
51000,0.005320,92.8,97.5,97.3,97.8
52000,0.005563,92.2,97.7,96.6,97.4
53000,0.004965,92.5,96.8,97.7,97.4
54000,0.003890,94.7,97.6,98.2,98.6
55000,0.005159,92.6,97.3,96.4,98.3
56000,0.005254,92.4,97.5,96.3,97.9
57000,0.004146,93.5,97.8,98.0,97.5
58000,0.005394,92.6,98.1,96.1,97.6
59000,0.004552,93.6,97.7,96.3,99.0
60000,0.004199,94.2,98.2,96.5,99.1
61000,0.005376,93.3,97.2,96.9,98.3
62000,0.004965,93.2,97.6,96.9,98.2
63000,0.004240,94.3,97.6,97.5,98.7
64000,0.003954,94.4,97.7,97.5,98.8
65000,0.004149,93.8,97.5,97.9,98.0
66000,0.003672,94.4,97.4,98.0,98.7
67000,0.005339,92.2,97.3,96.6,97.8
68000,0.006259,91.0,97.1,95.7,97.8
69000,0.004782,92.9,97.2,96.7,98.5
70000,0.004990,92.8,97.1,95.9,99.1
71000,0.004119,93.5,97.4,97.3,98.4
72000,0.005286,93.0,97.1,97.7,97.7
73000,0.004368,93.7,97.1,96.9,99.1
74000,0.005242,92.7,97.2,97.0,98.0
75000,0.004917,92.4,97.2,96.6,98.1
76000,0.004948,93.1,97.7,96.8,98.1
77000,0.004458,93.8,98.2,96.9,98.3
78000,0.004422,92.7,97.4,97.2,97.9
79000,0.004691,93.3,98.4,96.8,97.7
80000,0.004098,93.3,97.5,97.7,98.0
81000,0.003948,93.4,97.5,97.8,98.0
82000,0.003834,93.5,97.3,97.3,98.6
83000,0.004421,93.5,98.2,97.3,97.7
84000,0.005333,92.0,96.9,97.0,97.7
85000,0.005004,91.9,97.1,97.2,97.3
86000,0.004831,92.0,96.6,96.7,98.1
87000,0.004694,92.6,96.5,97.3,98.2
88000,0.003825,93.5,97.3,97.7,98.1
89000,0.004400,93.5,97.7,97.3,97.9
90000,0.003718,94.0,98.1,97.1,98.6
91000,0.003657,95.1,98.2,98.5,98.1
92000,0.003807,94.8,98.0,97.7,98.8
93000,0.003953,94.5,97.6,98.3,98.2
94000,0.003682,94.1,98.0,97.4,98.1
95000,0.003284,94.6,98.1,97.7,98.3
96000,0.003101,95.7,98.5,98.5,98.5
97000,0.003942,94.6,98.8,97.3,97.9
98000,0.003463,95.3,98.1,98.2,98.7
99000,0.003769,93.7,97.0,97.7,98.4
100000,0.003683,94.6,97.9,97.9,98.3
101000,0.003485,94.6,97.9,98.2,98.2
102000,0.004230,94.5,98.1,97.7,98.4
103000,0.003562,94.2,97.6,97.5,98.7
104000,0.003538,94.7,97.8,97.6,99.1
105000,0.004083,93.5,97.2,97.7,98.4
106000,0.003418,94.7,97.9,98.0,98.4
107000,0.003952,94.6,97.4,97.9,98.5
108000,0.003665,94.3,98.7,97.5,97.8
109000,0.003076,95.1,98.2,98.0,98.4
110000,0.002465,96.1,99.3,97.9,98.9
111000,0.003522,95.0,98.3,97.7,98.7
112000,0.003008,95.5,98.8,98.3,98.2
113000,0.004305,94.0,97.4,97.5,98.4
114000,0.003549,94.8,98.7,97.8,98.0
115000,0.003276,94.7,97.9,98.3,98.5
116000,0.003902,94.2,97.4,97.7,98.6
117000,0.003605,94.6,98.1,97.9,98.3
118000,0.003595,95.0,98.3,97.7,98.6
119000,0.003637,94.0,97.6,97.0,99.1
120000,0.003823,93.9,97.6,97.7,98.1
121000,0.003118,95.7,98.4,98.1,99.0
122000,0.003298,94.6,98.0,98.1,98.1
123000,0.003138,94.9,97.8,98.3,98.5
124000,0.003866,94.9,98.1,98.7,97.7
125000,0.003021,94.9,98.0,98.2,98.4
126000,0.002964,95.6,98.0,98.2,99.2
127000,0.004177,94.4,97.6,97.5,98.7
128000,0.002901,95.6,98.0,98.6,98.8
129000,0.003053,95.5,98.7,98.4,98.4
130000,0.003657,93.8,97.9,97.7,98.0
131000,0.003502,94.8,98.5,97.5,98.4
132000,0.003192,94.9,98.3,98.2,98.4
133000,0.003195,95.0,98.3,98.2,98.1
134000,0.003783,93.6,97.4,97.2,98.4
135000,0.002884,95.1,97.7,98.4,98.7
136000,0.002423,96.6,99.0,98.2,99.3
137000,0.003350,94.8,97.8,98.1,98.5
138000,0.003047,95.5,98.5,98.3,98.6
139000,0.002367,96.2,98.9,98.7,98.5
140000,0.002767,95.8,98.8,98.2,98.7
141000,0.003537,95.1,98.6,97.6,98.8
142000,0.004181,93.9,98.1,98.1,97.4
143000,0.003520,95.2,98.8,97.7,98.4
144000,0.003004,96.2,98.4,99.0,98.6
145000,0.002465,95.3,98.3,98.3,98.4
146000,0.002953,95.5,98.5,98.0,98.9
147000,0.002863,95.8,98.4,98.3,98.9
